Club,Sparta,Graafschap,Feyenoord,NAC Breda,Groningen,Roosendaal,Utrecht,Vitesse,Ajax,AZ Alkmaar,For Sittard,Willem II,Nijmegen,Twente,Waalwijk,PSV Eindhoven,Heerenveen,Roda JC
0,2,2,2,0,1,2,2,3,5,0,0,1,3,1,1,0,0,2
1,3,1,2,5,4,0,1,1,0,3,0,2,4,1,0,3,2,3
2,1,0,3,1,1,1,1,5,0,0,0,2,4,2,2,2,2,1
3,3,4,3,1,1,5,1,2,3,2,1,2,0,2,3,3,2,2
4,1,0,4,2,1,1,3,1,2,3,1,0,1,2,1,2,2,4
5,1,1,2,3,2,0,1,4,2,2,1,2,1,3,0,1,1,2
6,1,2,1,2,1,0,2,2,2,3,0,6,0,1,0,0,0,2
7,1,4,5,1,0,2,5,3,2,0,1,1,0,1,1,1,1,0
8,2,1,4,2,0,3,1,2,4,5,0,0,3,3,1,2,1,1
9,1,0,0,2,4,1,1,0,1,2,1,0,2,0,1,2,1,2
10,1,1,3,0,0,3,1,2,1,2,0,1,2,0,4,1,1,3
11,0,1,1,0,1,2,1,2,4,1,1,2,2,4,0,4,0,2
12,1,1,2,1,2,1,1,2,3,1,1,0,1,2,1,2,1,4
13,1,0,3,1,0,0,2,3,1,1,0,1,0,3,0,2,2,2
14,2,5,4,0,0,0,1,0,3,1,2,1,1,0,0,1,0,1
15,1,1,0,2,4,0,5,3,6,0,2,1,0,0,1,5,0,0
16,1,0,2,1,1,2,3,1,1,2,1,3,0,1,2,1,3,2
17,0,0,2,0,2,0,2,0,5,0,1,2,0,2,1,6,1,2
18,1,1,0,4,0,3,1,2,3,0,1,4,2,3,3,3,1,0
19,0,0,3,1,0,0,3,2,1,0,0,1,2,0,3,1,0,2
20,1,2,1,0,2,1,0,0,3,3,0,1,1,0,2,3,6,0
21,2,1,1,0,0,2,1,1,2,2,0,1,0,2,1,2,0,4
22,3,0,0,0,0,1,0,0,3,1,0,6,1,1,0,2,1,0
23,5,0,1,0,3,1,1,0,3,1,2,3,1,1,3,0,2,1
24,0,1,5,2,0,0,1,3,9,0,2,2,1,1,3,5,2,3
25,0,1,0,1,0,0,1,1,0,0,0,1,1,1,2,2,5,1
26,0,2,0,1,1,2,0,1,0,0,2,2,0,1,1,1,1,3
27,3,2,1,3,0,1,1,0,1,2,2,1,0,0,1,0,6,1
28,0,4,3,0,2,0,2,2,1,0,1,0,0,0,1,3,3,1
29,1,1,0,0,1,1,2,1,2,0,1,1,5,1,1,1,1,1
30,1,2,2,0,1,1,0,0,3,2,3,3,1,4,2,3,0,1
31,0,0,4,2,0,1,3,2,1,3,0,3,0,2,1,2,0,0
32,0,2,2,2,1,0,2,3,3,2,0,3,1,1,2,3,2,4
33,2,1,1,1,0,0,6,2,5,1,4,1,2,1,3,4,1,2
