HomeTeam,AwayTeam,FTHG,FTAG,Proba_Home_win,Proba_Draw,Proba_Away_win,round
Zwolle,Willem II,1.0,3.0,0.29481169602604307,0.2516184600021248,0.24784230428956308,752.0
FC Emmen,Groningen,0.0,1.0,0.18917708393992236,0.2977558641916161,0.23395099123100155,752.0
Vitesse,Ajax,2.0,2.0,0.14631159414716471,0.254091751389376,0.34972995256452055,752.0
Twente,PSV Eindhoven,1.0,1.0,0.19322435500295507,0.2888400125400882,0.24872471808068003,752.0
VVV Venlo,Waalwijk,3.0,1.0,0.25285532547615436,0.28819206641985223,0.18984869598257656,752.0
Heracles,Heerenveen,0.0,4.0,0.21863981682586445,0.27263482206687173,0.2639787115632219,752.0
Feyenoord,Sparta,2.0,2.0,0.3027363990057023,0.2658722250958293,0.18795442217015174,752.0
Den Haag,Utrecht,2.0,4.0,0.15755980895407043,0.2842702419955521,0.2840886908630691,752.0
AZ Alkmaar,For Sittard,4.0,0.0,0.32427161194209775,0.27412316723728003,0.11694590793330639,752.0
Sparta,VVV Venlo,4.0,1.0,0.1896723185503619,0.29926437557840846,0.23051835863289227,753.0
Groningen,Twente,1.0,3.0,0.1387636727225522,0.30002142693574096,0.26826705055106215,753.0
Ajax,FC Emmen,5.0,0.0,0.3762357717237814,0.2431477718373532,0.13443830375058513,753.0
Willem II,Vitesse,0.0,2.0,0.18647473140942103,0.24808322640217934,0.34514771132047917,753.0
For Sittard,Heracles,1.0,1.0,0.17198985437220266,0.2669341976762962,0.31020719034236593,753.0
Heerenveen,Feyenoord,1.0,1.0,0.2084507304884463,0.2773341174773147,0.26139140790413773,753.0
Waalwijk,AZ Alkmaar,0.0,2.0,0.09810980850096289,0.24180273811993128,0.3860843666173658,753.0
Utrecht,Zwolle,3.0,1.0,0.29463721177063423,0.2701339123310299,0.18575621572302783,753.0
PSV Eindhoven,Den Haag,3.0,1.0,0.4274463870476905,0.21958709129923099,0.0967412800520055,753.0
Vitesse,Zwolle,3.0,0.0,0.35938032848818513,0.24774993272932871,0.15626298003899317,754.0
Den Haag,Sparta,1.0,2.0,0.17631855043322933,0.28209972279382106,0.27569022575862745,754.0
VVV Venlo,Ajax,1.0,4.0,0.1237658729494124,0.2686930835929406,0.33081178030730723,754.0
FC Emmen,Heerenveen,2.0,0.0,0.14251492892175993,0.2720947724583587,0.31585205402282734,754.0
For Sittard,Willem II,2.0,3.0,0.23140152238791611,0.2796063301797714,0.2351490653066202,754.0
Twente,Waalwijk,3.0,3.0,0.3281612172952666,0.26816918308817467,0.13208269031437495,754.0
AZ Alkmaar,Groningen,0.0,0.0,0.3135387115538307,0.2784336942303139,0.12414925979835248,754.0
