,Value
0,0.05203664519841194
1,0.41750659641069665
2,0.3475139324477002
3,0.016645803623430013
4,-0.09091466195204216
5,0.11052149508121678
6,-0.11877422251985242
7,0.2136452463495693
8,-0.29730574525235326
9,-0.39022457126009885
10,0.005973064036412703
11,0.14053435185559815
12,0.09454044760444316
13,-0.15966197128256657
14,0.1151678025548738
15,-0.09453780496656984
16,-0.1340031963781688
17,0.07272380292812218
18,0.645896535469027
19,-0.1342039084530058
20,-0.3081199378076775
21,-0.03541646207797126
22,0.16929296753414
23,0.4241195513052531
24,-0.05219450636383676
25,0.18464801241882753
26,-0.00847549926442529
27,-0.0697632191879746
28,-0.3107086443358889
29,-0.39950171190123807
30,-0.02984493705516063
31,0.036056665275150016
32,0.05040964691175525
33,-0.10333214984763917
34,-0.10456780383765445
35,-0.3747650665289826
36,0.405546005687229
37,-0.07785663585546905
38,0.08930733255496814
39,-0.1879343224512452
40,-0.275898573083627
41,0.5687443498204958
