,Value
0,-0.029323819753970963
1,-0.2814340592303084
2,-0.5063405894209946
3,-0.3311741740876457
4,0.23071591541871667
5,-0.39836696850238196
6,0.014232006557614977
7,-0.003503819771067
8,0.594329376196795
9,0.8363751050471898
10,-0.08036811526961328
11,-0.006001704559900263
12,0.021222229556440354
13,0.3375890012405333
14,-0.1523201839439767
15,0.41845858594599994
16,-0.17616969203073757
17,-0.04385489194208671
18,-1.0320296502505846
19,0.20917255643570215
20,0.45032266138144966
21,-0.38228764800145376
